"","X","LGA","variable.x","Homicides","Assaults","Sexual Offences","Abductions","Robberies","Blackmail","A70.Stalking..harassment.and.threatening.behaviour","A80.Dangerous.and.negligent.acts.endangering.people","B10.Arson","B20.Property.damage","B30.Burglary.Break.and.enter","B40.Theft","B50.Deception","B60.Bribery","Drug.Dealing","C20.Cultivate.or.manufacture.drugs","C30.Drug.use.and.possession","C90.Other.drug.offences","D10.Weapons.and.explosives.offences","D20.Disorderly.and.offensive.conduct","D30.Public.nuisance.offences","D40.Public.security.offences","E10.Justice.procedures","E20.Breaches.of.orders","F10.Regulatory.driving.offences","F20.Transport.regulation.offences","F30.Other.government.regulatory.offences","F90.Miscellaneous.offences","variable.y","X..Employment.to.population","X..Labour.force.participation","Unemployment.Rate","Advanced.Diploma.and.Diploma.Level","Bachelor.Degrees","Certificate.Education","Certificate.III...IV.Level","Certificate.Level..nfd","Employed..away.from.work","Employed..worked.full.time","Employed..worked.part.time","Graduate.Diploma.and.Graduate.Certificate.Level","Lived.at.different.address.1.year.ago","Lived.at.different.address.5.years.ago","Lived.at.same.address.1.year.ago","Lived.at.same.address.5.years.ago","Not.in.the.labour.force","Persons.aged.15.years.and.over","Postgraduate.Degree.Level","Total.Certificate.Level","Total.Labour.Force","Unemployed..looking.for.work","Region","X2007.08","X2008.09","X2009.10","X2010.11","X2011.12","X2012.13","X2013.14","X2014.15","X2015.16","Drug.Hospitalisations","All","variable","X.1..199.......","Low.Income.Households","High.Income.Households","X.200..299...","X.300..399","X.400..599","X.600..799","X.800..999."
"47",47,"MITCHELL","as.numeric(as.character(cr2$Incidents.Recorded))",18,3074,436,15,34,11,712,423,405,3162,2221,5453,790,2,140,116,831,NA,550,1097,259,4,384,1678,7,49,91,39,"Value",56.7,60.1,5.7,2816,2419,448,6885,651,1158,11436,5813,516,5630,14441,31032,20116,10262,32439,509,7989,19512,1112,"hume",39,34,26,41,39,52,45,64,89,88,22001,"as.numeric(as.character(inc$Value))",4448,4730,1833,5574,5262,6382,6076,4906
"48",48,"MOIRA","as.numeric(as.character(cr2$Incidents.Recorded))",16,1229,322,7,13,3,180,126,206,1534,1686,3285,260,NA,122,98,575,NA,242,638,45,1,124,779,1,10,35,16,"Value",49.2,51.8,5.1,1722,1546,296,4618,429,908,6997,3900,301,3635,9024,22474,15871,9557,23981,214,5346,12432,629,"hume",18,34,31,38,33,29,44,49,59,90,11553,"as.numeric(as.character(inc$Value))",3390,2824,890,6572,6448,6874,5218,3556
"49",49,"MONASH","as.numeric(as.character(cr2$Incidents.Recorded))",31,4751,1107,65,828,42,794,488,464,5955,13337,15934,3901,5,360,190,1190,2,850,1342,176,9,471,1850,3,35,46,28,"Value",52.3,56.8,8,14369,34765,863,13049,2124,3707,48525,28147,3934,31354,72023,138082,92461,59066,153720,14741,16036,87328,6956,"eastern",185,339,289,202,215,263,271,346,408,442,54254,"as.numeric(as.character(inc$Value))",24186,21248,9948,28714,25942,31286,27064,22006
"50",50,"MOONEE VALLEY","as.numeric(as.character(cr2$Incidents.Recorded))",30,5178,734,47,685,31,1012,327,309,5671,8748,19668,3234,1,411,126,2078,NA,1032,1951,249,2,522,1937,2,46,52,23,"Value",59.5,63,5.7,8772,20557,660,10842,1485,2866,36259,18636,3169,16399,40585,89803,62326,29834,97118,6516,12984,61219,3462,"north/west",212,152,238,143,128,177,222,259,343,293,54106,"as.numeric(as.character(inc$Value))",13206,15108,7560,18294,16610,17860,16188,14280
"51",51,"MOORABOOL","as.numeric(as.character(cr2$Incidents.Recorded))",14,1301,253,15,21,NA,246,204,286,1922,1980,4839,370,2,105,84,315,NA,288,429,62,2,226,799,NA,70,35,24,"Value",57.6,61.2,5.8,2318,2447,266,5222,486,866,8964,4795,525,3292,10207,25724,17523,8224,25373,618,5974,15523,895,"grampians",30,31,37,33,36,48,55,57,54,93,13892,"as.numeric(as.character(inc$Value))",3578,3684,1562,4822,4766,5240,4664,3800
"52",52,"MORELAND","as.numeric(as.character(cr2$Incidents.Recorded))",56,7372,1293,101,908,54,1236,563,721,5851,7625,17455,4610,5,485,224,1812,1,1348,1631,284,7,900,2924,2,107,57,22,"Value",58.9,63.2,6.9,11425,29491,878,13692,1743,4004,50039,26309,4708,28496,65392,119209,76589,41767,136461,11680,16313,86268,5915,"north/west",291,177,189,214,263,289,235,378,460,489,57654,"as.numeric(as.character(inc$Value))",17120,20034,10501,30082,25386,26890,23952,19744
"53",53,"MORNINGTON PENINSULA","as.numeric(as.character(cr2$Incidents.Recorded))",48,6699,1239,44,203,11,1107,768,958,5959,11246,19607,2323,4,559,301,1702,3,1141,4992,329,9,827,4150,4,101,98,51,"Value",52.7,55.4,4.9,13621,15553,1330,24222,2666,3754,37951,25796,3009,20616,56090,120837,80930,49302,128156,3524,28221,70985,3487,"southern",77,54,191,163,201,299,376,371,455,530,64483,"as.numeric(as.character(inc$Value))",17488,17370,7078,24978,27056,32964,25750,18534
"54",54,"MOUNT ALEXANDER","as.numeric(as.character(cr2$Incidents.Recorded))",10,721,167,NA,23,1,186,81,152,1084,807,1979,192,NA,56,53,205,NA,190,367,101,NA,135,695,3,11,45,26,"Value",47.4,50.1,5.4,1433,2199,145,2430,264,449,3868,3243,625,1926,5450,14287,10156,6694,15946,754,2840,7990,431,"loddon",32,20,18,14,20,28,41,61,39,62,7290,"as.numeric(as.character(inc$Value))",2342,1784,650,3744,4134,4324,3156,2282
"55",55,"MOYNE","as.numeric(as.character(cr2$Incidents.Recorded))",12,580,164,2,3,NA,83,86,82,776,515,1389,82,NA,39,33,89,NA,102,180,58,NA,35,181,1,5,11,12,"Value",58.9,61.1,3.7,1191,1340,157,2493,257,569,4580,2584,260,1774,4612,13187,9629,4064,13134,258,2909,8026,299,"barwon",18,23,28,28,35,26,28,48,32,48,4520,"as.numeric(as.character(inc$Value))",2096,1848,721,2642,2792,3624,2934,2388
"56",56,"MURRINDINDI","as.numeric(as.character(cr2$Incidents.Recorded))",22,590,184,3,4,2,128,106,110,604,696,1376,115,NA,26,60,168,NA,178,437,35,NA,73,150,1,57,42,20,"Value",51.5,54.3,5.1,1093,1050,124,2438,234,402,3389,2157,232,1419,4028,10896,7849,4269,11546,216,2801,6272,318,"hume",16,16,18,16,19,24,11,25,27,34,5187,"as.numeric(as.character(inc$Value))",1776,1538,578,2774,2554,3028,2374,1616
